"COMPONENTID","COMPONENTNAME","FUNCTION"
"CP5478","Error Dector","The patient should not receive so much drug that makes him unaware"
"CP5479","Fault Logger","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5480","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5481","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5482","ICE Bus Adapter","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5483","Commands","Patient''s health information should be available to those caring for the patient, and only those."
"CP5484","Parameters","Performs primary pump operation"
"CP5485","Security Status","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5486","Alarms","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5487","Power Control","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5488","Control Panel","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5489","Operation Process","Patient''s health information should be available to those caring for the patient, and only those."
"CP5490","Operation Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP5491","Drug Libary Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP5492","Event Logger Thread","The patient should receive enough drug to relieve the pain."
"CP5493","Scanner","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5494","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5495","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5496","Pump","Patient''s health information should be available to those caring for the patient, and only those."
"CP5497","Upstream Monitor","The patient should not receive so much drug that makes him unaware"
"CP5498","Downstream Monitor","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5499","Drug Reservoir","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5500","Patient Button","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5501","Safety","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5502","Failture LED","Patient''s health information should be available to those caring for the patient, and only those."
"CP5503","Alarm Thread","Performs primary pump operation"
"CP5504","Pump fault manager","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5505","Error Dector","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5506","Fault Logger","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5507","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5508","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP5509","ICE Bus Adapter","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP5510","Commands","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP5511","Parameters","The patient should receive enough drug to relieve the pain."
"CP5512","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5513","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5514","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5515","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"CP5516","Operation Process","The patient should not receive so much drug that makes him unaware"
"CP5517","Operation Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP5518","Drug Libary Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5519","Event Logger Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5520","Scanner","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5521","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"CP5522","Security Subsystem","Performs primary pump operation"
"CP5523","Pump","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP5524","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP5525","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP5526","Drug Reservoir","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5527","Patient Button","Patient''s health information should be available to those caring for the patient, and only those."
