"SUBCOMPONENTID","COMPONENTNAME","FUNCTION"
"SCP7993","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7994","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7995","Power Control","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP7996","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP7997","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP7998","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP7999","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP8000","Drug Reservoir","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP8001","Patient Button","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP8002","Safety","Patient''s health information should be available to those caring for the patient, and only those."
"SCP8003","Failture LED","The patient should not receive so much drug that makes him unaware"
"SCP8004","Alarm Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP8005","Pump fault manager","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP8006","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP8007","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP8008","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP8009","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"SCP8010","Operation Process","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP8011","Operation Thread","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP8012","Drug Libary Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP8013","Event Logger Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP8014","Scanner","Patient''s health information should be available to those caring for the patient, and only those."
"SCP8015","Security Subsystem","Performs primary pump operation"
"SCP8016","Security Subsystem","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP8017","Pump","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP8018","Error Dector","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP8019","Fault Logger","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP8020","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP8021","Downstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP8022","ICE Bus Adapter","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP8023","Commands","The patient should receive enough drug to relieve the pain."
"SCP8024","Parameters","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP8025","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP8026","Pump fault manager","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP8027","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP8028","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP8029","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP8030","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"SCP8031","Operation Process","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP8032","Upstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP8033","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP8034","Drug Reservoir","The patient should not receive so much drug that makes him unaware"
"SCP8035","Patient Button","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP8036","Safety","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP8037","Failture LED","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP8038","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP8039","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
