"EXCEPTIONCASESTEPID","DESCRIPTION"
"ECS12770","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12771","blockage between pump and patient"
"ECS12772","blockage between reservoir and pump"
"ECS12773","bubble detection"
"ECS12774","dose reaches maximum allowed by drug library"
"ECS12775","clinician not authorized to operate pump"
"ECS12776","patient not admitted to hospital"
"ECS12777","the drug libary fails authenticity or integrity check"
"ECS12778","basal rate or bolus VTBI exceeded soft limit"
"ECS12779","measured flow rate below setting"
"ECS12780","pump temperature exceeds 55 C"
"ECS12781","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12782","blockage between pump and patient"
"ECS12783","blockage between reservoir and pump"
"ECS12784","bubble detection"
"ECS12785","dose reaches maximum allowed by drug library"
"ECS12786","clinician not authorized to operate pump"
"ECS12787","basal rate or bolus VTBI exceeded hard limit"
"ECS12788","power-on self test fails"
"ECS12789","PCA pump detects its own failure"
"ECS12790","pump fails to prime after loading drug reservoir"
"ECS12791","measured flow rate exceeds setting"
"ECS12792","measured flow rate below setting"
"ECS12793","pump temperature exceeds 55 C"
"ECS12794","ng drug reservoir"
"ECS12795","measured flow rate exceeds setting"
"ECS12796","patient not admitted to hospital"
"ECS12797","drug or prescription not intended for this patient"
"ECS12798","no audible alarm"
"ECS12799","indication of no ICE alarms enabled"
"ECS12800","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12801","blockage between pump and patient"
"ECS12802","blockage between reservoir and pump"
"ECS12803","bubble detection"
"ECS12804","dose reaches maximum allowed by drug library"
"ECS12805","clinician not authorized to operate pump"
"ECS12806","patient not admitted to hospital"
"ECS12807","the drug libary fails authenticity or integrity check"
"ECS12808","basal rate or bolus VTBI exceeded soft limit"
"ECS12809","measured flow rate below setting"
"ECS12810","pump temperature exceeds 55 C"
"ECS12811","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12812","blockage between pump and patient"
"ECS12813","blockage between reservoir and pump"
"ECS12814","bubble detection"
"ECS12815","dose reaches maximum allowed by drug library"
"ECS12816","clinician not authorized to operate pump"
"ECS12817","basal rate or bolus VTBI exceeded hard limit"
"ECS12818","power-on self test fails"
"ECS12819","PCA pump detects its own failure"
"ECS12820","pump fails to prime after loading drug reservoir"
"ECS12821","measured flow rate exceeds setting"
"ECS12822","measured flow rate below setting"
"ECS12823","pump temperature exceeds 55 C"
"ECS12824","ng drug reservoir"
"ECS12825","measured flow rate exceeds setting"
"ECS12826","patient not admitted to hospital"
"ECS12827","drug or prescription not intended for this patient"
"ECS12828","no audible alarm"
"ECS12829","indication of no ICE alarms enabled"
"ECS12830","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12831","blockage between pump and patient"
"ECS12832","blockage between reservoir and pump"
"ECS12833","bubble detection"
"ECS12834","dose reaches maximum allowed by drug library"
"ECS12835","clinician not authorized to operate pump"
"ECS12836","patient not admitted to hospital"
"ECS12837","the drug libary fails authenticity or integrity check"
"ECS12838","basal rate or bolus VTBI exceeded soft limit"
"ECS12839","measured flow rate below setting"
"ECS12840","pump temperature exceeds 55 C"
"ECS12841","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12842","blockage between pump and patient"
"ECS12843","blockage between reservoir and pump"
"ECS12844","bubble detection"
"ECS12845","dose reaches maximum allowed by drug library"
"ECS12846","clinician not authorized to operate pump"
"ECS12847","basal rate or bolus VTBI exceeded hard limit"
"ECS12848","power-on self test fails"
"ECS12849","PCA pump detects its own failure"
"ECS12850","pump fails to prime after loading drug reservoir"
"ECS12851","measured flow rate exceeds setting"
"ECS12852","measured flow rate below setting"
"ECS12853","pump temperature exceeds 55 C"
"ECS12854","ng drug reservoir"
"ECS12855","measured flow rate exceeds setting"
"ECS12856","patient not admitted to hospital"
"ECS12857","drug or prescription not intended for this patient"
"ECS12858","no audible alarm"
"ECS12859","indication of no ICE alarms enabled"
"ECS12860","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12861","blockage between pump and patient"
"ECS12862","blockage between reservoir and pump"
"ECS12863","bubble detection"
"ECS12864","dose reaches maximum allowed by drug library"
"ECS12865","clinician not authorized to operate pump"
"ECS12866","patient not admitted to hospital"
"ECS12867","the drug libary fails authenticity or integrity check"
"ECS12868","basal rate or bolus VTBI exceeded soft limit"
"ECS12869","measured flow rate below setting"
"ECS12870","pump temperature exceeds 55 C"
"ECS12871","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12872","blockage between pump and patient"
"ECS12873","blockage between reservoir and pump"
"ECS12874","bubble detection"
"ECS12875","dose reaches maximum allowed by drug library"
"ECS12876","clinician not authorized to operate pump"
"ECS12877","basal rate or bolus VTBI exceeded hard limit"
"ECS12878","power-on self test fails"
"ECS12879","PCA pump detects its own failure"
"ECS12880","pump fails to prime after loading drug reservoir"
"ECS12881","measured flow rate exceeds setting"
"ECS12882","measured flow rate below setting"
"ECS12883","pump temperature exceeds 55 C"
"ECS12884","ng drug reservoir"
"ECS12885","measured flow rate exceeds setting"
"ECS12886","patient not admitted to hospital"
"ECS12887","drug or prescription not intended for this patient"
"ECS12888","no audible alarm"
"ECS12889","indication of no ICE alarms enabled"
"ECS12890","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12891","blockage between pump and patient"
"ECS12892","blockage between reservoir and pump"
"ECS12893","bubble detection"
"ECS12894","dose reaches maximum allowed by drug library"
"ECS12895","clinician not authorized to operate pump"
"ECS12896","patient not admitted to hospital"
"ECS12897","the drug libary fails authenticity or integrity check"
"ECS12898","basal rate or bolus VTBI exceeded soft limit"
"ECS12899","measured flow rate below setting"
"ECS12900","pump temperature exceeds 55 C"
"ECS12901","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12902","blockage between pump and patient"
"ECS12903","blockage between reservoir and pump"
"ECS12904","bubble detection"
"ECS12905","dose reaches maximum allowed by drug library"
"ECS12906","clinician not authorized to operate pump"
"ECS12907","basal rate or bolus VTBI exceeded hard limit"
"ECS12908","power-on self test fails"
"ECS12909","PCA pump detects its own failure"
"ECS12910","pump fails to prime after loading drug reservoir"
"ECS12911","measured flow rate exceeds setting"
"ECS12912","measured flow rate below setting"
"ECS12913","pump temperature exceeds 55 C"
"ECS12914","ng drug reservoir"
"ECS12915","measured flow rate exceeds setting"
"ECS12916","patient not admitted to hospital"
"ECS12917","drug or prescription not intended for this patient"
"ECS12918","no audible alarm"
"ECS12919","indication of no ICE alarms enabled"
"ECS12920","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12921","blockage between pump and patient"
"ECS12922","blockage between reservoir and pump"
"ECS12923","bubble detection"
"ECS12924","dose reaches maximum allowed by drug library"
"ECS12925","clinician not authorized to operate pump"
"ECS12926","patient not admitted to hospital"
"ECS12927","the drug libary fails authenticity or integrity check"
"ECS12928","basal rate or bolus VTBI exceeded soft limit"
"ECS12929","measured flow rate below setting"
"ECS12930","pump temperature exceeds 55 C"
"ECS12931","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12932","blockage between pump and patient"
"ECS12933","blockage between reservoir and pump"
"ECS12934","bubble detection"
"ECS12935","dose reaches maximum allowed by drug library"
"ECS12936","clinician not authorized to operate pump"
"ECS12937","basal rate or bolus VTBI exceeded hard limit"
"ECS12938","power-on self test fails"
"ECS12939","PCA pump detects its own failure"
"ECS12940","pump fails to prime after loading drug reservoir"
"ECS12941","measured flow rate exceeds setting"
"ECS12942","measured flow rate below setting"
"ECS12943","pump temperature exceeds 55 C"
"ECS12944","ng drug reservoir"
"ECS12945","measured flow rate exceeds setting"
"ECS12946","patient not admitted to hospital"
"ECS12947","drug or prescription not intended for this patient"
"ECS12948","no audible alarm"
"ECS12949","indication of no ICE alarms enabled"
"ECS12950","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12951","blockage between pump and patient"
"ECS12952","blockage between reservoir and pump"
"ECS12953","bubble detection"
"ECS12954","dose reaches maximum allowed by drug library"
"ECS12955","clinician not authorized to operate pump"
"ECS12956","patient not admitted to hospital"
"ECS12957","the drug libary fails authenticity or integrity check"
"ECS12958","basal rate or bolus VTBI exceeded soft limit"
"ECS12959","measured flow rate below setting"
"ECS12960","pump temperature exceeds 55 C"
"ECS12961","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12962","blockage between pump and patient"
"ECS12963","blockage between reservoir and pump"
"ECS12964","bubble detection"
"ECS12965","dose reaches maximum allowed by drug library"
"ECS12966","clinician not authorized to operate pump"
"ECS12967","basal rate or bolus VTBI exceeded hard limit"
"ECS12968","power-on self test fails"
"ECS12969","PCA pump detects its own failure"
"ECS12970","pump fails to prime after loading drug reservoir"
"ECS12971","measured flow rate exceeds setting"
"ECS12972","measured flow rate below setting"
"ECS12973","pump temperature exceeds 55 C"
"ECS12974","ng drug reservoir"
"ECS12975","measured flow rate exceeds setting"
"ECS12976","patient not admitted to hospital"
"ECS12977","drug or prescription not intended for this patient"
"ECS12978","no audible alarm"
"ECS12979","indication of no ICE alarms enabled"
"ECS12980","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12981","blockage between pump and patient"
"ECS12982","blockage between reservoir and pump"
"ECS12983","bubble detection"
"ECS12984","dose reaches maximum allowed by drug library"
"ECS12985","clinician not authorized to operate pump"
"ECS12986","patient not admitted to hospital"
"ECS12987","the drug libary fails authenticity or integrity check"
"ECS12988","basal rate or bolus VTBI exceeded soft limit"
"ECS12989","measured flow rate below setting"
"ECS12990","pump temperature exceeds 55 C"
"ECS12991","Bolus request denied because minimum time between boluses had not elapsed."
"ECS12992","blockage between pump and patient"
"ECS12993","blockage between reservoir and pump"
"ECS12994","bubble detection"
"ECS12995","dose reaches maximum allowed by drug library"
"ECS12996","clinician not authorized to operate pump"
"ECS12997","basal rate or bolus VTBI exceeded hard limit"
"ECS12998","power-on self test fails"
