"EXCEPTIONCASEID","PRIMARYACTOR","TITLE","DESCRIPTION"
"EC4779","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC4780","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4781","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4782","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4783","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC4784","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC4785","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4786","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4787","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4788","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC4789","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4790","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC4791","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC4792","ICE app","Air-in-line Embolism","bubble detection"
"EC4793","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4794","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4795","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC4796","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4797","Patient","Sound Failure","no audible alarm"
"EC4798","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC4799","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4800","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4801","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4802","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC4803","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC4804","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4805","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4806","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4807","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC4808","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4809","Patient","Downstream Occlusion","blockage between pump and patient"
"EC4810","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC4811","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC4812","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4813","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4814","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC4815","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4816","ICE app","Sound Failure","no audible alarm"
"EC4817","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC4818","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4819","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4820","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4821","Patient","Power-On Self Test Failure","power-on self test fails"
"EC4822","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC4823","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4824","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4825","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4826","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC4827","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4828","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC4829","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC4830","Clinician","Air-in-line Embolism","bubble detection"
"EC4831","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4832","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4833","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC4834","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4835","Patient or Clinician","Sound Failure","no audible alarm"
"EC4836","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC4837","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4838","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4839","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4840","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC4841","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC4842","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4843","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4844","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4845","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC4846","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4847","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC4848","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC4849","Patient","Air-in-line Embolism","bubble detection"
"EC4850","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4851","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4852","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC4853","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4854","Clinician","Sound Failure","no audible alarm"
"EC4855","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC4856","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4857","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4858","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4859","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC4860","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC4861","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4862","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4863","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4864","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC4865","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4866","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC4867","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC4868","ICE app","Air-in-line Embolism","bubble detection"
"EC4869","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4870","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4871","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC4872","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4873","Patient","Sound Failure","no audible alarm"
"EC4874","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC4875","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4876","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4877","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4878","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC4879","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC4880","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4881","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4882","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4883","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC4884","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4885","Patient","Downstream Occlusion","blockage between pump and patient"
"EC4886","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC4887","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC4888","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4889","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4890","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC4891","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4892","ICE app","Sound Failure","no audible alarm"
"EC4893","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC4894","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC4895","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC4896","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC4897","Patient","Power-On Self Test Failure","power-on self test fails"
"EC4898","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC4899","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC4900","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC4901","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC4902","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC4903","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC4904","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC4905","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC4906","Clinician","Air-in-line Embolism","bubble detection"
"EC4907","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC4908","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC4909","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC4910","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC4911","Patient or Clinician","Sound Failure","no audible alarm"
